Using seed: 1502657336674
Generating a Aldous Broder maze of 6 by 6 by 6 by 6
Ensuring solution
Solution took 44.5247 seconds and has a distance of 126
start at            (A:4)(B:0)(C:0)(D:0)
positive 1 on A     (A:5)(B:0)(C:0)(D:0)
positive 1 on D     (A:5)(B:0)(C:0)(D:1)
positive 1 on D     (A:5)(B:0)(C:0)(D:2)
positive 1 on C     (A:5)(B:0)(C:1)(D:2)
positive 1 on B     (A:5)(B:1)(C:1)(D:2)
positive 1 on D     (A:5)(B:1)(C:1)(D:3)
negative 1 on A     (A:4)(B:1)(C:1)(D:3)
positive 1 on D     (A:4)(B:1)(C:1)(D:4)
positive 1 on B     (A:4)(B:2)(C:1)(D:4)
positive 1 on B     (A:4)(B:3)(C:1)(D:4)
negative 1 on C     (A:4)(B:3)(C:0)(D:4)
positive 1 on A     (A:5)(B:3)(C:0)(D:4)
positive 1 on B     (A:5)(B:4)(C:0)(D:4)
negative 1 on D     (A:5)(B:4)(C:0)(D:3)
negative 1 on A     (A:4)(B:4)(C:0)(D:3)
positive 1 on C     (A:4)(B:4)(C:1)(D:3)
positive 1 on A     (A:5)(B:4)(C:1)(D:3)
negative 1 on D     (A:5)(B:4)(C:1)(D:2)
negative 1 on A     (A:4)(B:4)(C:1)(D:2)
positive 1 on C     (A:4)(B:4)(C:2)(D:2)
negative 1 on D     (A:4)(B:4)(C:2)(D:1)
positive 1 on C     (A:4)(B:4)(C:3)(D:1)
positive 1 on C     (A:4)(B:4)(C:4)(D:1)
negative 1 on A     (A:3)(B:4)(C:4)(D:1)
positive 1 on B     (A:3)(B:5)(C:4)(D:1)
positive 1 on A     (A:4)(B:5)(C:4)(D:1)
positive 1 on C     (A:4)(B:5)(C:5)(D:1)
negative 1 on A     (A:3)(B:5)(C:5)(D:1)
negative 1 on D     (A:3)(B:5)(C:5)(D:0)
negative 1 on A     (A:2)(B:5)(C:5)(D:0)
negative 1 on C     (A:2)(B:5)(C:4)(D:0)
negative 1 on A     (A:1)(B:5)(C:4)(D:0)
positive 1 on C     (A:1)(B:5)(C:5)(D:0)
negative 1 on B     (A:1)(B:4)(C:5)(D:0)
negative 1 on C     (A:1)(B:4)(C:4)(D:0)
positive 1 on D     (A:1)(B:4)(C:4)(D:1)
negative 1 on B     (A:1)(B:3)(C:4)(D:1)
negative 1 on A     (A:0)(B:3)(C:4)(D:1)
negative 1 on B     (A:0)(B:2)(C:4)(D:1)
positive 1 on A     (A:1)(B:2)(C:4)(D:1)
negative 1 on C     (A:1)(B:2)(C:3)(D:1)
negative 1 on D     (A:1)(B:2)(C:3)(D:0)
negative 1 on A     (A:0)(B:2)(C:3)(D:0)
negative 1 on C     (A:0)(B:2)(C:2)(D:0)
negative 1 on C     (A:0)(B:2)(C:1)(D:0)
negative 1 on C     (A:0)(B:2)(C:0)(D:0)
negative 1 on B     (A:0)(B:1)(C:0)(D:0)
positive 1 on D     (A:0)(B:1)(C:0)(D:1)
positive 1 on A     (A:1)(B:1)(C:0)(D:1)
positive 1 on D     (A:1)(B:1)(C:0)(D:2)
negative 1 on B     (A:1)(B:0)(C:0)(D:2)
positive 1 on C     (A:1)(B:0)(C:1)(D:2)
positive 1 on D     (A:1)(B:0)(C:1)(D:3)
positive 1 on C     (A:1)(B:0)(C:2)(D:3)
positive 1 on A     (A:2)(B:0)(C:2)(D:3)
positive 1 on A     (A:3)(B:0)(C:2)(D:3)
positive 1 on B     (A:3)(B:1)(C:2)(D:3)
positive 1 on D     (A:3)(B:1)(C:2)(D:4)
negative 1 on A     (A:2)(B:1)(C:2)(D:4)
positive 1 on C     (A:2)(B:1)(C:3)(D:4)
positive 1 on D     (A:2)(B:1)(C:3)(D:5)
positive 1 on B     (A:2)(B:2)(C:3)(D:5)
positive 1 on B     (A:2)(B:3)(C:3)(D:5)
negative 1 on D     (A:2)(B:3)(C:3)(D:4)
negative 1 on D     (A:2)(B:3)(C:3)(D:3)
positive 1 on B     (A:2)(B:4)(C:3)(D:3)
negative 1 on D     (A:2)(B:4)(C:3)(D:2)
negative 1 on D     (A:2)(B:4)(C:3)(D:1)
negative 1 on B     (A:2)(B:3)(C:3)(D:1)
