./bin/binary_3d 
Using seed: 1480871651558
Generating a Binary maze of 10 by 10 by 10
Ensuring solution
Solution took 4.51587 seconds and has a distance of 54
(x:-5)(y:-5)(z:-5) to (x:-4)(y:-5)(z:-5)
start at                                (x:-5)(y:-5)(z:-5)
positive 1 on z                         (x:-5)(y:-5)(z:-4)
positive 1 on z                         (x:-5)(y:-5)(z:-3)
positive 1 on y                         (x:-5)(y:-4)(z:-3)
positive 1 on z                         (x:-5)(y:-4)(z:-2)
positive 1 on x                         (x:-4)(y:-4)(z:-2)
positive 1 on y                         (x:-4)(y:-3)(z:-2)
positive 1 on y                         (x:-4)(y:-2)(z:-2)
positive 1 on z                         (x:-4)(y:-2)(z:-1)
positive 1 on z                         (x:-4)(y:-2)(z:0)
positive 1 on z                         (x:-4)(y:-2)(z:1)
positive 1 on z                         (x:-4)(y:-2)(z:2)
positive 1 on y                         (x:-4)(y:-1)(z:2)
positive 1 on x                         (x:-3)(y:-1)(z:2)
positive 1 on z                         (x:-3)(y:-1)(z:3)
positive 1 on z                         (x:-3)(y:-1)(z:4)
positive 1 on x                         (x:-2)(y:-1)(z:4)
positive 1 on y                         (x:-2)(y:0)(z:4)
positive 1 on y                         (x:-2)(y:1)(z:4)
positive 1 on x                         (x:-1)(y:1)(z:4)
positive 1 on y                         (x:-1)(y:2)(z:4)
positive 1 on y                         (x:-1)(y:3)(z:4)
positive 1 on y                         (x:-1)(y:4)(z:4)
positive 1 on x                         (x:0)(y:4)(z:4)
positive 1 on x                         (x:1)(y:4)(z:4)
positive 1 on x                         (x:2)(y:4)(z:4)
positive 1 on x                         (x:3)(y:4)(z:4)
positive 1 on x                         (x:4)(y:4)(z:4)
negative 1 on y                         (x:4)(y:3)(z:4)
negative 1 on y                         (x:4)(y:2)(z:4)
negative 1 on z                         (x:4)(y:2)(z:3)
negative 1 on z                         (x:4)(y:2)(z:2)
negative 1 on z                         (x:4)(y:2)(z:1)
negative 1 on z                         (x:4)(y:2)(z:0)
negative 1 on y                         (x:4)(y:1)(z:0)
negative 1 on y                         (x:4)(y:0)(z:0)
negative 1 on x                         (x:3)(y:0)(z:0)
negative 1 on y                         (x:3)(y:-1)(z:0)
negative 1 on y                         (x:3)(y:-2)(z:0)
negative 1 on x                         (x:2)(y:-2)(z:0)
negative 1 on z                         (x:2)(y:-2)(z:-1)
negative 1 on z                         (x:2)(y:-2)(z:-2)
negative 1 on z                         (x:2)(y:-2)(z:-3)
negative 1 on x                         (x:1)(y:-2)(z:-3)
negative 1 on y                         (x:1)(y:-3)(z:-3)
negative 1 on z                         (x:1)(y:-3)(z:-4)
negative 1 on x                         (x:0)(y:-3)(z:-4)
negative 1 on x                         (x:-1)(y:-3)(z:-4)
negative 1 on x                         (x:-2)(y:-3)(z:-4)
negative 1 on y                         (x:-2)(y:-4)(z:-4)
negative 1 on y                         (x:-2)(y:-5)(z:-4)
negative 1 on x                         (x:-3)(y:-5)(z:-4)
negative 1 on z                         (x:-3)(y:-5)(z:-5)
finish at                               (x:-4)(y:-5)(z:-5)

