Using seed: 1502658597150
Generating a Recursive Backtracker maze of 12 by 12
Ensuring solution
Solution took 0.039141 seconds and has a distance of 79
(x:-1)(y:-6) to (x:5)(y:0)
Ensuring solution
Solution took 0.0244822 seconds and has a distance of 94
(x:5)(y:-4) to (x:5)(y:5)
start at            (x:5)(y:-4)
negative 1 on y     (x:5)(y:-5)
negative 1 on y     (x:5)(y:-6)
negative 1 on x     (x:4)(y:-6)
negative 1 on x     (x:3)(y:-6)
negative 1 on x     (x:2)(y:-6)
positive 1 on y     (x:2)(y:-5)
positive 1 on x     (x:3)(y:-5)
positive 1 on x     (x:4)(y:-5)
positive 1 on y     (x:4)(y:-4)
negative 1 on x     (x:3)(y:-4)
positive 1 on y     (x:3)(y:-3)
negative 1 on x     (x:2)(y:-3)
positive 1 on y     (x:2)(y:-2)
negative 1 on x     (x:1)(y:-2)
positive 1 on y     (x:1)(y:-1)
negative 1 on x     (x:0)(y:-1)
negative 1 on x     (x:-1)(y:-1)
negative 1 on y     (x:-1)(y:-2)
negative 1 on y     (x:-1)(y:-3)
negative 1 on y     (x:-1)(y:-4)
positive 1 on x     (x:0)(y:-4)
negative 1 on y     (x:0)(y:-5)
negative 1 on x     (x:-1)(y:-5)
negative 1 on x     (x:-2)(y:-5)
negative 1 on x     (x:-3)(y:-5)
negative 1 on y     (x:-3)(y:-6)
negative 1 on x     (x:-4)(y:-6)
negative 1 on x     (x:-5)(y:-6)
positive 1 on y     (x:-5)(y:-5)
positive 1 on y     (x:-5)(y:-4)
negative 1 on x     (x:-6)(y:-4)
positive 1 on y     (x:-6)(y:-3)
positive 1 on y     (x:-6)(y:-2)
positive 1 on x     (x:-5)(y:-2)
positive 1 on y     (x:-5)(y:-1)
negative 1 on x     (x:-6)(y:-1)
positive 1 on y     (x:-6)(y:0)
positive 1 on y     (x:-6)(y:1)
positive 1 on y     (x:-6)(y:2)
positive 1 on y     (x:-6)(y:3)
positive 1 on x     (x:-5)(y:3)
positive 1 on x     (x:-4)(y:3)
positive 1 on y     (x:-4)(y:4)
positive 1 on x     (x:-3)(y:4)
negative 1 on y     (x:-3)(y:3)
negative 1 on y     (x:-3)(y:2)
negative 1 on x     (x:-4)(y:2)
negative 1 on x     (x:-5)(y:2)
negative 1 on y     (x:-5)(y:1)
negative 1 on y     (x:-5)(y:0)
positive 1 on x     (x:-4)(y:0)
positive 1 on y     (x:-4)(y:1)
positive 1 on x     (x:-3)(y:1)
negative 1 on y     (x:-3)(y:0)
positive 1 on x     (x:-2)(y:0)
positive 1 on x     (x:-1)(y:0)
positive 1 on y     (x:-1)(y:1)
negative 1 on x     (x:-2)(y:1)
positive 1 on y     (x:-2)(y:2)
positive 1 on x     (x:-1)(y:2)
positive 1 on y     (x:-1)(y:3)
positive 1 on y     (x:-1)(y:4)
positive 1 on y     (x:-1)(y:5)
positive 1 on x     (x:0)(y:5)
negative 1 on y     (x:0)(y:4)
positive 1 on x     (x:1)(y:4)
negative 1 on y     (x:1)(y:3)
negative 1 on y     (x:1)(y:2)
negative 1 on x     (x:0)(y:2)
negative 1 on y     (x:0)(y:1)
positive 1 on x     (x:1)(y:1)
positive 1 on x     (x:2)(y:1)
positive 1 on x     (x:3)(y:1)
negative 1 on y     (x:3)(y:0)
negative 1 on y     (x:3)(y:-1)
negative 1 on y     (x:3)(y:-2)
positive 1 on x     (x:4)(y:-2)
negative 1 on y     (x:4)(y:-3)
positive 1 on x     (x:5)(y:-3)
positive 1 on y     (x:5)(y:-2)
positive 1 on y     (x:5)(y:-1)
positive 1 on y     (x:5)(y:0)
negative 1 on x     (x:4)(y:0)
positive 1 on y     (x:4)(y:1)
positive 1 on y     (x:4)(y:2)
negative 1 on x     (x:3)(y:2)
positive 1 on y     (x:3)(y:3)
negative 1 on x     (x:2)(y:3)
positive 1 on y     (x:2)(y:4)
positive 1 on y     (x:2)(y:5)
positive 1 on x     (x:3)(y:5)
positive 1 on x     (x:4)(y:5)
finish at           (x:5)(y:5)
